FF MOLTO-NA-40055-59	MOLTO-NA	AU7389G	40055	1.7655968265416515	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40242-57	MOLTO-NA	AU6563	40242	1.8275475923852182	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40242-59	MOLTO-NA	AU7389G	40242	1.7655968265416515	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40324-57	MOLTO-NA	AU6563	40324	1.8275475923852182	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40324-59	MOLTO-NA	AU7389G	40324	1.7655968265416515	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40382-59	MOLTO-NA	AU7389G	40382	1.7655968265416515	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTO-NA-40382-62	MOLTO-NA	AU7389H	40382	1.6801647220315716	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTO-NA-40383-57	MOLTO-NA	AU6563	40383	1.8275475923852182	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40383-59	MOLTO-NA	AU7389G	40383	1.7655968265416515	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40383-64	MOLTO-NA	AU6563	40383	1.627659574468085	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40409-57	MOLTO-NA	AU6563	40409	1.8275475923852182	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40409-64	MOLTO-NA	AU6563	40409	1.627659574468085	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40771-57	MOLTO-NA	AU7389G	40771	1.8275475923852182	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40771-64	MOLTO-NA	AU7389G	40771	1.627659574468085	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-41255-64	MOLTO-NA	AU7389G	41255	1.627659574468085	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTO-NA-41256-64	MOLTO-NA	AU7389G	41256	1.627659574468085	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOFR-NA-40383-62	MOLTOFR-NA	AU7389G	40383	1.6801647220315716	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOFR-NA-40669-62	MOLTOFR-NA	AU7389G	40669	1.6801647220315716	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOP-NA-40424-63	MOLTOP-NA	AU6563	40424	1.6534954407294833	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOP-NA-40429-63	MOLTOP-NA	AU6563	40429	1.6534954407294833	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOP-NA-40434-58	MOLTOP-NA	AU7389G	40434	1.7960381511371972	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOP-NA-40434-62	MOLTOP-NA	AU6563	40434	1.6801647220315716	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOP-NA-40434-66	MOLTOP-NA	AU6563	40434	1.5783365570599612	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOP-NA-40434-67	MOLTOP-NA	AU7389H	40434	1.63477912451167	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOP-NA-40436-58	MOLTOP-NA	AU7389G	40436	1.7960381511371972	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOP-NA-40436-62	MOLTOP-NA	AU6563	40436	1.6801647220315716	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
